date,start,end,hours,phase,hat,task,estimate_hours,blocked_hours,notes
2026-08-24,15:45,18:00,2.25,inception,project-manager,read chapter 1 and did in page quiz + create repo + scaffold docs/ tree + README.md file, 0.50, 0.00, underestimated the creation of git repo after not doing it for a while
2026-08-25,15:45,18:00,2.25,inception,project-manager,recreate the repository + create a new GitHub project with board columns with WIP limit + create 6 cards on it, 2.00, 0.00, ran into a few problem with repository and underestimated how lot it would take to write the 6 cards
2026-08-26,12:30,17:15,4.75,inception,project-manager,added hours-log.csv and pasted in the hours_report.py + did most of the charter.md, 5.00, 0.00, things went smoothly finished sooner then expected; 3 & 7 still need updated inputs
2026-08-27,15:30,18:15,3.25,inception,project-manager,made git ignore file + did research on git ignore file and completed it; completed ai-usage.md file; made and completed calendar with 2-4 hour work blocks and blocked off 2 broken weeks, 5.00, 0.00, things went very smoothly again did not run into any problems and learned a lot about the .gitignore!
2026-08-28,14:00,15:00,1.00,inception,project-manager,updated charter with purpose and ranked what would be cut + made license file to be deferred till Week 5, 1.00, 0.00, it took the estimated amount of hours and deferred license file till Week 5
2026-08-28,18:30,19:15,0.75,inception,project-manager,clean and clone smoke test was done, 1.00, 0.00, took less time than expected to do the clean and clone smoke test and it was successful
2026-08-29,10:45,14:00,3.25,inception,project-manager,did the extra credit cost-memo.md + updated charter with additional cut, 2.50, 0.00, the paper took longer then expected because was more thorough with it 
2026-08-29,14:30,16:15,1.75,inception,project-manager,did the extra credit issue-card-template.md + added in blocked off calendar weeks into calendar.md + emailed dr.litman, 1.50, 0.00, had problems reaching dr.litman but issue-card-template.md went smoothly
2026-08-30,12:00,14:30,2.50,inception,product-owner,submitted week 1 repo + did week 1 quiz + read chapter 2 and did in page quiz, 2.00, 0.00, completed the entire week 1 + reading just took a little longer than expected
2026-08-30,15:00,15:30,0.50,inception,project-owner,started to think of the 10 problems for rep 1, 0.50, 0.00, thinking of the 10 problems went much better than I thought
